2022-11-29 01:37:54 - INFO - python 22_fuse.py --dataset rdb --k 100 --train_start 0 --train_end 10 --valid_start 11 --valid_end 12 --log rdb_mbsl --gid 0 --embed_dim 300
2022-11-29 01:37:54 - INFO - Namespace(log='rdb_mbsl', gid=0, dataset='rdb', data_path='../preprocess/data/rdb/', train_start=0, train_end=10, valid_start=11, valid_end=12, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=300, hidden_channels=128, hidden_dims=[20, 10, 20, 8], num_layers=3, dropout=0, edge_gnn='sage', node_gnn='sage', node_predictor='cites', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', device=device(type='cuda', index=0), num_rels=4)
2022-11-29 01:37:55 - INFO - all_g: Data(x=[25024, 300], edge_index=[2, 151156], edge_attr=[151156], num_nodes=25024, ts_infos=[11, 3], raw_nid=[25024], train_val_split=143281)
2022-11-29 01:42:04 - INFO - epoch: 38, valid: {11: {'mrr': 0.6331453919410706, 'hits@1,3,10': [0.5201097130775452, 0.7093235850334167, 0.8290676474571228], 'ndcg,@100': [0.7088970745160887, 0.7084860949686519], 'male': 0.5256, 'rmsle': 0.7248, 'cor': 0.8467}}, train: {'mrr': 0.9943, 'cor': 0.9172, 'loss': 0.156}
2022-11-29 01:42:13 - INFO - epoch: 39, valid: {11: {'mrr': 0.6433712244033813, 'hits@1,3,10': [0.5374771356582642, 0.7175502777099609, 0.82358318567276], 'ndcg,@100': [0.7168827296723123, 0.7163119247453168], 'male': 0.5248, 'rmsle': 0.7245, 'cor': 0.8476}}, train: {'mrr': 0.9946, 'cor': 0.9178, 'loss': 0.1544}
2022-11-29 01:42:23 - INFO - epoch: 40, valid: {11: {'mrr': 0.6390926241874695, 'hits@1,3,10': [0.5310786366462708, 0.7093235850334167, 0.8281535506248474], 'ndcg,@100': [0.7132473508383089, 0.7125561579630741], 'male': 0.5237, 'rmsle': 0.7231, 'cor': 0.8488}}, train: {'mrr': 0.9945, 'cor': 0.9189, 'loss': 0.1519}
2022-11-29 01:42:32 - INFO - epoch: 41, valid: {11: {'mrr': 0.6405689716339111, 'hits@1,3,10': [0.5319926738739014, 0.7157221436500549, 0.8290676474571228], 'ndcg,@100': [0.7146387028099054, 0.7138697470296813], 'male': 0.5227, 'rmsle': 0.7223, 'cor': 0.8498}}, train: {'mrr': 0.9948, 'cor': 0.9196, 'loss': 0.1522}
2022-11-29 01:42:42 - INFO - epoch: 42, valid: {11: {'mrr': 0.6471253633499146, 'hits@1,3,10': [0.5420475602149963, 0.7230347394943237, 0.8263254165649414], 'ndcg,@100': [0.7197669235617328, 0.7191447461913076], 'male': 0.5214, 'rmsle': 0.7215, 'cor': 0.8506}}, train: {'mrr': 0.9946, 'cor': 0.9201, 'loss': 0.1492}
2022-11-29 01:42:51 - INFO - epoch: 43, valid: {11: {'mrr': 0.6513099074363708, 'hits@1,3,10': [0.5466179251670837, 0.7257769703865051, 0.835466206073761], 'ndcg,@100': [0.723528646588803, 0.7225183218680209], 'male': 0.5211, 'rmsle': 0.7217, 'cor': 0.8515}}, train: {'mrr': 0.9947, 'cor': 0.9211, 'loss': 0.1476}
2022-11-29 01:43:01 - INFO - epoch: 44, valid: {11: {'mrr': 0.6526978015899658, 'hits@1,3,10': [0.5484460592269897, 0.7266910672187805, 0.8382084369659424], 'ndcg,@100': [0.7244355388513736, 0.7235639009101066], 'male': 0.5193, 'rmsle': 0.7194, 'cor': 0.853}}, train: {'mrr': 0.9952, 'cor': 0.9219, 'loss': 0.1452}
2022-11-29 01:43:10 - INFO - epoch: 45, valid: {11: {'mrr': 0.6558610200881958, 'hits@1,3,10': [0.5530164241790771, 0.7221206426620483, 0.837294340133667], 'ndcg,@100': [0.7269947203547852, 0.7262744188992909], 'male': 0.519, 'rmsle': 0.7192, 'cor': 0.8539}}, train: {'mrr': 0.9949, 'cor': 0.9225, 'loss': 0.1455}
2022-11-29 01:43:20 - INFO - epoch: 46, valid: {11: {'mrr': 0.6588435769081116, 'hits@1,3,10': [0.5639853477478027, 0.7221206426620483, 0.8345521092414856], 'ndcg,@100': [0.7285663755296893, 0.727842179751403], 'male': 0.5192, 'rmsle': 0.7198, 'cor': 0.8549}}, train: {'mrr': 0.9949, 'cor': 0.923, 'loss': 0.1442}
2022-11-29 01:43:28 - INFO - epoch: 47, valid: {11: {'mrr': 0.647942304611206, 'hits@1,3,10': [0.541133463382721, 0.7175502777099609, 0.839122474193573], 'ndcg,@100': [0.7204771650459727, 0.7197607253078998], 'male': 0.5181, 'rmsle': 0.7185, 'cor': 0.8556}}, train: {'mrr': 0.9953, 'cor': 0.9233, 'loss': 0.1439}
